title,rating,duration,year,Action,Adventure,Animation,Biography,Comedy,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,RealityTV,Romance,SciFi,Thriller,War,Western
Raaz 3: The Third Dimension ,3.5,6600,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
After Earth ,4.9,6780,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Merida - Legende der Highlands ,6.6,7020,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2 Guns ,6.2,7080,2014,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Carrie ,5.6,7680,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lunchbox ,7.3,7920,2014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Banshee: Small Town. Big Secrets. ,7.5,8220,2014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vampire Academy ,5.4,8280,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nine-Nine ,7.4,8520,2014,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jack Ryan: Shadow Recruit ,6.1,8940,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
